architecture,learning_rate,weight_decay,dropout,best_threshold,avg_val_f1,avg_val_auc,avg_val_acc,avg_val_prec,avg_val_rec,avg_val_kappa
128,0.001,0.001,0.6,0.3,0.4664370311787988,0.7167213354050743,0.7043935898142606,0.376093835936784,0.6281300745436275,0.2818992033693736
128,0.001,0.001,0.7,0.3,0.4590002183776104,0.7198592637798773,0.7113079330277745,0.3778610714953738,0.5963606258733949,0.27738892423304684
128,0.001,0.0001,0.2,0.3,0.47010706932902274,0.7322530790239515,0.7064027828049866,0.38720037019082365,0.6300070396546961,0.2888056955434884
128,0.001,0.0001,0.3,0.3,0.48159503135213877,0.7300755874867628,0.7261940645426088,0.40477569390213375,0.6136046495257057,0.3098539080864461
128,0.001,0.0001,0.4,0.3,0.46688121605808564,0.7228302300815356,0.7170636259697802,0.3833419063911224,0.6069734932986497,0.28817958921464293
128,0.001,0.0001,0.5,0.3,0.47618941101129425,0.7289124516881875,0.6955820424758018,0.3713486189083938,0.6787856530401359,0.2880433174440604
128,0.001,0.0001,0.6,0.3,0.4645504235944178,0.7213560297148977,0.7183508841520105,0.3828204730063461,0.5963809315064209,0.28604074104737914
128,0.001,0.0001,0.7,0.3,0.4461774995412182,0.7060126186616345,0.69560268906549,0.3579884532216654,0.6040772831745493,0.25542825909718186
128,0.001,1e-05,0.2,0.4,0.4731853295031517,0.7299489111621524,0.6854296167973322,0.38166587153736414,0.6686193657955976,0.28583302561696716
128,0.001,1e-05,0.3,0.3,0.4723442162954384,0.730360098521255,0.7175788569060726,0.3894568435224425,0.6110302155534237,0.2945095527157965
128,0.001,1e-05,0.4,0.3,0.4630356854575406,0.7206904990795586,0.6973434545181254,0.37585202632010256,0.6228607091188275,0.27594000864281865
128,0.001,1e-05,0.5,0.3,0.46377819867289516,0.7204888984503898,0.7016957989534106,0.3782196287087486,0.6258386789957735,0.27947041553734236
128,0.001,1e-05,0.6,0.3,0.4570741824515956,0.7213202845621689,0.7223261255263014,0.3879890835631635,0.5643155461616421,0.2812300470498733
128,0.001,1e-05,0.7,0.3,0.4489322244007778,0.7013129603383212,0.6974258999832422,0.3631403692073899,0.5966263681476817,0.25920664926903453
128,0.0001,0.01,0.2,0.3,0.4766291642848831,0.7268896692303091,0.6916342869161523,0.37465054988181423,0.6759351639705676,0.2880161244080776
128,0.0001,0.01,0.3,0.3,0.4675094422584376,0.7282812566147716,0.7124680771658614,0.3817533354023436,0.6141888017933997,0.28678479155702075
128,0.0001,0.01,0.4,0.3,0.46520412532944927,0.7281778998529538,0.7088057030716476,0.3805844652060415,0.6102889636601709,0.28313275309997643
